Initial max|⟨B·n⟩ᵢ|: 0.2644252752006932
J=1.9e+03, Jf=1.0e+00, ⟨B·n⟩=1.2e-01, Len=sum([15.7, 15.7, 15.7])=47.1, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.13, C-S-Sep=1.57, ║∇J║=6.4e+03
J=2.1e+03, Jf=1.0e+00, ⟨B·n⟩=1.2e-01, Len=sum([15.3, 15.2, 15.3])=45.8, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.01, C-S-Sep=0.92, ║∇J║=6.9e+03
J=2.2e+03, Jf=1.0e+00, ⟨B·n⟩=1.2e-01, Len=sum([15.5, 15.5, 15.5])=46.6, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.01, C-S-Sep=1.42, ║∇J║=6.5e+03
J=1.8e+03, Jf=1.0e+00, ⟨B·n⟩=1.2e-01, Len=sum([15.6, 15.6, 15.6])=46.9, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.02, C-S-Sep=1.54, ║∇J║=6.2e+03
J=1.6e+03, Jf=1.0e+00, ⟨B·n⟩=1.2e-01, Len=sum([15.6, 15.7, 15.6])=46.9, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.06, C-S-Sep=1.53, ║∇J║=3.2e+03
J=1.4e+03, Jf=1.0e+00, ⟨B·n⟩=1.2e-01, Len=sum([15.5, 15.6, 15.5])=46.7, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.12, C-S-Sep=1.47, ║∇J║=5.1e+03
J=8.9e+02, Jf=1.0e+00, ⟨B·n⟩=1.2e-01, Len=sum([15.2, 15.6, 15.2])=46.1, ϰ=[0.5, 0.4, 0.5], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.13, C-S-Sep=1.24, ║∇J║=6.8e+03
J=6.8e+02, Jf=1.0e+00, ⟨B·n⟩=1.2e-01, Len=sum([14.9, 15.6, 14.9])=45.4, ϰ=[0.5, 0.5, 0.5], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.11, C-S-Sep=0.95, ║∇J║=6.6e+03
J=2.9e+02, Jf=1.0e+00, ⟨B·n⟩=1.2e-01, Len=sum([14.6, 15.5, 14.6])=44.7, ϰ=[0.6, 0.5, 0.6], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.25, C-S-Sep=0.80, ║∇J║=2.8e+03
J=1.3e+02, Jf=1.0e+00, ⟨B·n⟩=1.2e-01, Len=sum([14.4, 15.3, 14.4])=44.1, ϰ=[0.6, 0.4, 0.6], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.30, C-S-Sep=0.62, ║∇J║=8.2e+02
J=7.8e+01, Jf=1.0e+00, ⟨B·n⟩=1.2e-01, Len=sum([14.2, 15.3, 14.2])=43.6, ϰ=[0.6, 0.4, 0.6], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.28, C-S-Sep=0.48, ║∇J║=8.0e+02
