Initial max|⟨B·n⟩ᵢ|: 0.11594103759828579
J=2.8e+02, Jf=1.5e-01, ⟨B·n⟩=3.7e-02, Len=sum([15.7, 15.7, 15.7, 15.7, 15.7, 15.7])=94.2, ϰ=[0.4, 0.4, 0.4, 0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2, 0.2, 0.2, 0.2], C-C-Sep=0.32, C-S-Sep=1.56, ║∇J║=1.3e+03
J=8.9e+02, Jf=1.5e-01, ⟨B·n⟩=3.7e-02, Len=sum([15.8, 15.5, 15.5, 15.5, 15.5, 15.8])=93.8, ϰ=[0.6, 0.5, 0.5, 0.5, 0.5, 0.6], ∫ϰ²/L=[0.2, 0.2, 0.2, 0.2, 0.2, 0.2], C-C-Sep=0.04, C-S-Sep=1.26, ║∇J║=4.0e+03
J=4.8e+02, Jf=1.5e-01, ⟨B·n⟩=3.7e-02, Len=sum([15.7, 15.7, 15.7, 15.7, 15.7, 15.7])=94.1, ϰ=[0.4, 0.4, 0.4, 0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2, 0.2, 0.2, 0.2], C-C-Sep=0.14, C-S-Sep=1.55, ║∇J║=2.9e+03
J=2.6e+02, Jf=1.5e-01, ⟨B·n⟩=3.7e-02, Len=sum([15.7, 15.7, 15.7, 15.7, 15.7, 15.7])=94.2, ϰ=[0.4, 0.4, 0.4, 0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2, 0.2, 0.2, 0.2], C-C-Sep=0.28, C-S-Sep=1.56, ║∇J║=4.1e+02
J=2.6e+02, Jf=1.5e-01, ⟨B·n⟩=3.7e-02, Len=sum([15.7, 15.7, 15.7, 15.7, 15.7, 15.7])=94.2, ϰ=[0.4, 0.4, 0.4, 0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2, 0.2, 0.2, 0.2], C-C-Sep=0.29, C-S-Sep=1.55, ║∇J║=3.5e+02
J=2.5e+02, Jf=1.5e-01, ⟨B·n⟩=3.7e-02, Len=sum([15.6, 15.7, 15.7, 15.7, 15.7, 15.6])=93.9, ϰ=[0.4, 0.4, 0.4, 0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2, 0.2, 0.2, 0.2], C-C-Sep=0.29, C-S-Sep=1.54, ║∇J║=4.2e+02
J=2.3e+02, Jf=1.5e-01, ⟨B·n⟩=3.7e-02, Len=sum([15.6, 15.6, 15.6, 15.6, 15.6, 15.6])=93.5, ϰ=[0.4, 0.4, 0.4, 0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2, 0.2, 0.2, 0.2], C-C-Sep=0.29, C-S-Sep=1.48, ║∇J║=6.0e+02
J=1.7e+02, Jf=1.5e-01, ⟨B·n⟩=3.7e-02, Len=sum([15.2, 15.3, 15.3, 15.3, 15.3, 15.2])=91.7, ϰ=[0.6, 0.5, 0.5, 0.5, 0.5, 0.6], ∫ϰ²/L=[0.2, 0.2, 0.2, 0.2, 0.2, 0.2], C-C-Sep=0.28, C-S-Sep=1.11, ║∇J║=1.2e+03
J=9.3e+01, Jf=1.4e-01, ⟨B·n⟩=3.7e-02, Len=sum([14.9, 15.0, 14.9, 14.9, 15.0, 14.9])=89.7, ϰ=[0.8, 0.7, 0.7, 0.7, 0.7, 0.8], ∫ϰ²/L=[0.2, 0.2, 0.2, 0.2, 0.2, 0.2], C-C-Sep=0.28, C-S-Sep=0.48, ║∇J║=1.6e+03
J=2.6e+01, Jf=1.6e-01, ⟨B·n⟩=3.9e-02, Len=sum([14.9, 14.8, 14.8, 14.8, 14.8, 14.9])=89.0, ϰ=[2.9, 0.8, 2.5, 2.5, 0.8, 2.9], ∫ϰ²/L=[0.4, 0.2, 0.3, 0.3, 0.2, 0.4], C-C-Sep=0.38, C-S-Sep=0.04, ║∇J║=6.9e+02
J=5.3e+00, Jf=1.4e-01, ⟨B·n⟩=3.6e-02, Len=sum([14.9, 14.8, 14.8, 14.8, 14.8, 14.9])=89.0, ϰ=[7.0, 3.1, 6.3, 6.3, 3.1, 7.0], ∫ϰ²/L=[0.8, 0.3, 0.6, 0.6, 0.3, 0.8], C-C-Sep=0.44, C-S-Sep=0.06, ║∇J║=2.4e+02
J=1.8e+00, Jf=1.3e-01, ⟨B·n⟩=3.4e-02, Len=sum([14.9, 14.8, 14.8, 14.8, 14.8, 14.9])=89.1, ϰ=[10.4, 5.2, 9.4, 9.4, 5.2, 10.4], ∫ϰ²/L=[1.1, 0.5, 0.9, 0.9, 0.5, 1.1], C-C-Sep=0.47, C-S-Sep=0.07, ║∇J║=1.2e+02
J=6.9e-01, Jf=1.3e-01, ⟨B·n⟩=3.4e-02, Len=sum([15.0, 14.8, 14.8, 14.8, 14.8, 15.0])=89.2, ϰ=[13.9, 7.9, 12.9, 13.1, 7.9, 13.8], ∫ϰ²/L=[1.5, 0.7, 1.3, 1.3, 0.7, 1.5], C-C-Sep=0.49, C-S-Sep=0.07, ║∇J║=1.8e+01
J=6.4e-01, Jf=1.3e-01, ⟨B·n⟩=3.4e-02, Len=sum([15.0, 14.8, 14.8, 14.8, 14.8, 15.0])=89.2, ϰ=[14.6, 8.5, 13.7, 14.0, 8.5, 14.6], ∫ϰ²/L=[1.6, 0.7, 1.4, 1.4, 0.7, 1.6], C-C-Sep=0.49, C-S-Sep=0.07, ║∇J║=1.2e+01
J=5.8e-01, Jf=1.3e-01, ⟨B·n⟩=3.4e-02, Len=sum([15.0, 14.8, 14.8, 14.8, 14.8, 15.0])=89.2, ϰ=[15.0, 9.0, 14.1, 15.0, 9.0, 15.0], ∫ϰ²/L=[1.7, 0.7, 1.4, 1.5, 0.7, 1.7], C-C-Sep=0.49, C-S-Sep=0.08, ║∇J║=8.2e+00
J=5.6e-01, Jf=1.3e-01, ⟨B·n⟩=3.4e-02, Len=sum([15.0, 14.8, 14.8, 14.8, 14.8, 15.0])=89.2, ϰ=[14.7, 9.1, 13.7, 16.5, 9.0, 15.0], ∫ϰ²/L=[1.6, 0.8, 1.4, 1.5, 0.8, 1.6], C-C-Sep=0.49, C-S-Sep=0.08, ║∇J║=2.6e+01
J=5.0e-01, Jf=1.3e-01, ⟨B·n⟩=3.4e-02, Len=sum([15.0, 14.8, 14.8, 14.8, 14.8, 15.0])=89.2, ϰ=[14.6, 9.2, 13.5, 17.6, 9.2, 15.1], ∫ϰ²/L=[1.6, 0.8, 1.4, 1.5, 0.8, 1.6], C-C-Sep=0.49, C-S-Sep=0.08, ║∇J║=8.3e+00
J=4.7e-01, Jf=1.2e-01, ⟨B·n⟩=3.3e-02, Len=sum([14.9, 14.9, 14.8, 14.8, 14.9, 14.9])=89.1, ϰ=[14.0, 9.0, 12.8, 18.2, 9.0, 14.7], ∫ϰ²/L=[1.6, 0.8, 1.3, 1.5, 0.8, 1.6], C-C-Sep=0.49, C-S-Sep=0.07, ║∇J║=6.0e+00
J=4.3e-01, Jf=1.2e-01, ⟨B·n⟩=3.3e-02, Len=sum([14.9, 14.9, 14.7, 14.7, 14.9, 14.9])=89.0, ϰ=[12.7, 8.5, 11.2, 19.0, 8.4, 13.7], ∫ϰ²/L=[1.4, 0.7, 1.1, 1.4, 0.7, 1.4], C-C-Sep=0.48, C-S-Sep=0.07, ║∇J║=8.5e+00
J=4.0e-01, Jf=1.2e-01, ⟨B·n⟩=3.4e-02, Len=sum([14.9, 14.9, 14.7, 14.7, 14.9, 14.9])=89.0, ϰ=[12.2, 8.3, 10.7, 18.1, 8.5, 13.3], ∫ϰ²/L=[1.3, 0.7, 1.0, 1.3, 0.7, 1.3], C-C-Sep=0.48, C-S-Sep=0.07, ║∇J║=4.9e+00
J=3.8e-01, Jf=1.2e-01, ⟨B·n⟩=3.4e-02, Len=sum([14.9, 14.9, 14.7, 14.7, 14.9, 14.9])=88.9, ϰ=[11.4, 8.0, 9.7, 16.3, 8.4, 12.7], ∫ϰ²/L=[1.2, 0.7, 0.9, 1.2, 0.7, 1.2], C-C-Sep=0.49, C-S-Sep=0.07, ║∇J║=1.2e+01
J=3.6e-01, Jf=1.2e-01, ⟨B·n⟩=3.4e-02, Len=sum([14.9, 14.9, 14.7, 14.7, 14.9, 14.8])=88.9, ϰ=[11.1, 8.0, 9.2, 15.5, 8.5, 12.4], ∫ϰ²/L=[1.2, 0.7, 0.9, 1.1, 0.7, 1.2], C-C-Sep=0.49, C-S-Sep=0.07, ║∇J║=6.1e+00
J=3.6e-01, Jf=1.2e-01, ⟨B·n⟩=3.4e-02, Len=sum([14.9, 14.9, 14.7, 14.7, 14.9, 14.8])=88.9, ϰ=[11.0, 8.0, 9.1, 15.2, 8.6, 12.4], ∫ϰ²/L=[1.2, 0.7, 0.9, 1.1, 0.7, 1.2], C-C-Sep=0.49, C-S-Sep=0.07, ║∇J║=3.3e+00
J=3.5e-01, Jf=1.2e-01, ⟨B·n⟩=3.4e-02, Len=sum([14.8, 15.0, 14.7, 14.7, 14.9, 14.8])=88.9, ϰ=[10.7, 8.0, 8.6, 14.0, 8.7, 12.2], ∫ϰ²/L=[1.1, 0.7, 0.8, 1.1, 0.7, 1.1], C-C-Sep=0.49, C-S-Sep=0.08, ║∇J║=2.8e+00
J=3.5e-01, Jf=1.2e-01, ⟨B·n⟩=3.4e-02, Len=sum([14.8, 15.0, 14.7, 14.7, 14.9, 14.8])=88.9, ϰ=[10.5, 8.1, 8.4, 13.5, 8.9, 12.1], ∫ϰ²/L=[1.1, 0.7, 0.8, 1.0, 0.7, 1.1], C-C-Sep=0.50, C-S-Sep=0.08, ║∇J║=7.0e-01
J=3.5e-01, Jf=1.2e-01, ⟨B·n⟩=3.4e-02, Len=sum([14.8, 15.0, 14.7, 14.6, 14.9, 14.8])=88.8, ϰ=[10.3, 8.2, 8.0, 12.5, 9.1, 11.9], ∫ϰ²/L=[1.1, 0.7, 0.8, 1.0, 0.7, 1.1], C-C-Sep=0.50, C-S-Sep=0.08, ║∇J║=5.4e-01
J=3.4e-01, Jf=1.2e-01, ⟨B·n⟩=3.4e-02, Len=sum([14.8, 15.0, 14.6, 14.6, 15.0, 14.8])=88.8, ϰ=[10.0, 8.4, 7.6, 10.7, 9.5, 11.7], ∫ϰ²/L=[1.1, 0.7, 0.7, 1.0, 0.7, 1.0], C-C-Sep=0.50, C-S-Sep=0.09, ║∇J║=7.1e-01
J=3.4e-01, Jf=1.1e-01, ⟨B·n⟩=3.3e-02, Len=sum([14.7, 15.1, 14.5, 14.6, 15.1, 14.7])=88.7, ϰ=[8.6, 9.8, 5.6, 7.1, 11.1, 9.8], ∫ϰ²/L=[0.9, 0.8, 0.6, 0.9, 0.8, 0.8], C-C-Sep=0.48, C-S-Sep=0.10, ║∇J║=5.3e+00
J=3.4e-01, Jf=1.2e-01, ⟨B·n⟩=3.3e-02, Len=sum([14.8, 15.1, 14.6, 14.6, 15.0, 14.7])=88.7, ϰ=[9.3, 9.1, 6.6, 8.6, 10.5, 10.9], ∫ϰ²/L=[1.0, 0.8, 0.6, 0.9, 0.7, 0.9], C-C-Sep=0.49, C-S-Sep=0.10, ║∇J║=1.4e+00
J=3.3e-01, Jf=1.1e-01, ⟨B·n⟩=3.3e-02, Len=sum([14.7, 15.1, 14.6, 14.6, 15.0, 14.7])=88.7, ϰ=[8.9, 9.7, 5.8, 7.8, 11.5, 10.3], ∫ϰ²/L=[0.9, 0.8, 0.6, 0.9, 0.8, 0.9], C-C-Sep=0.50, C-S-Sep=0.10, ║∇J║=1.3e+00
J=3.3e-01, Jf=1.1e-01, ⟨B·n⟩=3.2e-02, Len=sum([14.7, 15.2, 14.5, 14.6, 15.1, 14.6])=88.7, ϰ=[8.6, 10.7, 5.2, 6.0, 12.2, 9.5], ∫ϰ²/L=[0.9, 0.9, 0.5, 1.0, 0.9, 0.8], C-C-Sep=0.49, C-S-Sep=0.09, ║∇J║=3.2e+00
J=3.3e-01, Jf=1.1e-01, ⟨B·n⟩=3.2e-02, Len=sum([14.7, 15.2, 14.5, 14.6, 15.1, 14.6])=88.7, ϰ=[8.8, 10.7, 5.4, 6.5, 12.4, 9.8], ∫ϰ²/L=[0.9, 0.9, 0.6, 1.0, 0.9, 0.8], C-C-Sep=0.50, C-S-Sep=0.09, ║∇J║=3.0e-01
