Initial max|⟨B·n⟩ᵢ|: 0.05797042474689112
J=3.6e-02, Jf=3.6e-02, ⟨B·n⟩=1.9e-02, Len=sum([15.7, 15.7, 15.7])=47.1, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.63, C-S-Sep=1.56, ║∇J║=4.0e-02
J=9.2e+00, Jf=1.1e-02, ⟨B·n⟩=1.1e-02, Len=sum([15.8, 15.8, 15.8])=47.4, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.38, C-S-Sep=1.62, ║∇J║=6.3e+02
J=2.9e-02, Jf=2.9e-02, ⟨B·n⟩=1.7e-02, Len=sum([15.7, 15.7, 15.7])=47.1, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.58, C-S-Sep=1.59, ║∇J║=3.3e-02
J=2.2e+01, Jf=6.5e-03, ⟨B·n⟩=8.2e-03, Len=sum([15.7, 15.4, 15.4])=46.5, ϰ=[0.5, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.31, C-S-Sep=1.53, ║∇J║=9.8e+02
J=2.9e-02, Jf=2.9e-02, ⟨B·n⟩=1.7e-02, Len=sum([15.7, 15.7, 15.7])=47.1, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.58, C-S-Sep=1.59, ║∇J║=3.3e-02
J=6.2e+00, Jf=1.2e-02, ⟨B·n⟩=1.1e-02, Len=sum([15.7, 15.5, 15.5])=46.7, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.39, C-S-Sep=1.59, ║∇J║=4.7e+02
J=2.7e-02, Jf=2.6e-02, ⟨B·n⟩=1.6e-02, Len=sum([15.7, 15.7, 15.7])=47.1, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.55, C-S-Sep=1.60, ║∇J║=3.1e-02
J=1.3e+00, Jf=1.6e-02, ⟨B·n⟩=1.3e-02, Len=sum([15.7, 15.6, 15.6])=46.8, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.44, C-S-Sep=1.60, ║∇J║=2.1e+02
J=2.4e-02, Jf=2.4e-02, ⟨B·n⟩=1.5e-02, Len=sum([15.7, 15.7, 15.7])=47.0, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.53, C-S-Sep=1.60, ║∇J║=2.8e-02
J=5.5e+01, Jf=1.7e-03, ⟨B·n⟩=4.3e-03, Len=sum([15.6, 15.1, 15.0])=45.7, ϰ=[0.6, 0.5, 0.5], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.26, C-S-Sep=1.15, ║∇J║=1.3e+03
J=2.4e-02, Jf=2.4e-02, ⟨B·n⟩=1.5e-02, Len=sum([15.7, 15.7, 15.7])=47.0, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.53, C-S-Sep=1.60, ║∇J║=2.8e-02
